date,event
2017-01-01,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-02,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-03,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-04,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-05,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-06,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'European Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-07,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'European Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-08,"['Brisbane International presented by Suncorp (tennis)', '2017 Dakar Rally (rally)', 'European Speed Skating Championships (speed skating)', 'Apia International Sydney (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-09,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-10,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-11,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', '2017 World Men’s Handball Championship (handball men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-12,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', '2017 World Men’s Handball Championship (handball men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-13,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', '2017 World Men’s Handball Championship (handball men)', 'European Short Track Speed Skating Championships (short track speed skating)', 'Copa Centroamericana 2017 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-14,"['2017 Dakar Rally (rally)', 'Apia International Sydney (tennis)', '2017 World Men’s Handball Championship (handball men)', 'European Short Track Speed Skating Championships (short track speed skating)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-15,"['2017 World Men’s Handball Championship (handball men)', 'European Short Track Speed Skating Championships (short track speed skating)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-16,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-17,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-18,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-19,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-20,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-21,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-22,"['2017 World Men’s Handball Championship (handball men)', 'Copa Centroamericana 2017 (football men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-23,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-24,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-25,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-26,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-27,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-28,"['2017 World Men’s Handball Championship (handball men)', 'Africa Cup of Nations 2017 (football men)', 'Australian Open (tennis)', '2017 Central American Cup (football men)', 'European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2017-01-29,"['2017 World Men’s Handball Championship (handball men)', 'Australian Open (tennis)', 'European Figure Skating Championships (figure skating)']"
2017-02-01,"['Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'Africa Cup of Nations 2017 (football men)', '28th Winter Universiade (multiple sports)', 'St. Petersburg Ladies Trophy (tennis women)']"
2017-02-02,"['Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'Africa Cup of Nations 2017 (football men)', '28th Winter Universiade (multiple sports)', 'St. Petersburg Ladies Trophy (tennis women)']"
2017-02-03,"['Davis Cup 1st round (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'Africa Cup of Nations 2017 (football men)', '28th Winter Universiade (multiple sports)', 'St. Petersburg Ladies Trophy (tennis women)']"
2017-02-04,"['Davis Cup 1st round (tennis men)', '2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'Africa Cup of Nations 2017 (football men)', '28th Winter Universiade (multiple sports)', 'St. Petersburg Ladies Trophy (tennis women)']"
2017-02-05,"['Davis Cup 1st round (tennis men)', '2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'Africa Cup of Nations 2017 (football men)', '28th Winter Universiade (multiple sports)', 'St. Petersburg Ladies Trophy (tennis women)']"
2017-02-06,"['2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '28th Winter Universiade (multiple sports)']"
2017-02-07,"['2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '28th Winter Universiade (multiple sports)']"
2017-02-08,"['2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '28th Winter Universiade (multiple sports)']"
2017-02-09,"['2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-10,"['2017 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-11,"['2017 Six Nations Championship (rugby)', 'Fed Cup 1st round (tennis women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-12,"['2017 Six Nations Championship (rugby)', 'Fed Cup 1st round (tennis women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-13,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-14,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Champions League Last 32 Leg 1 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-15,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Champions League Last 32 Leg 1 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-16,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-17,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-18,"['2017 Six Nations Championship (rugby)', 'Qatar Total Open 2017 (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-19,"['2017 Six Nations Championship (rugby)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-20,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-21,"['2017 Six Nations Championship (rugby)', 'Champions League Last 32 Leg 1 (football men)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-22,"['2017 Six Nations Championship (rugby)', 'Champions League Last 32 Leg 1 (football men)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-23,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-24,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-25,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-26,"['2017 Six Nations Championship (rugby)', '8th Asian Winter Games (multiple sports)', 'Rio Open presented by Claro (tennis)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-27,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-02-28,"['2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-03-01,"['Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)']"
2017-03-02,"['Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)']"
2017-03-03,"['European Athletics Indoor Championships (athletics)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)']"
2017-03-04,"['European Athletics Indoor Championships (athletics)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)']"
2017-03-05,"['European Athletics Indoor Championships (athletics)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-06,"['BNP Paribas Open – Indian Wells (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-07,"['BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-08,"['BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-09,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-10,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-11,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-12,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-13,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-14,"['BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-15,"['BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-16,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-17,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-18,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2017 Six Nations Championship (rugby)']"
2017-03-19,"['BNP Paribas Open – Indian Wells (tennis)', 'World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-03-20,"['World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Official or friendly matches (football men)', 'Miami Open presented by Itaú (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-03-21,"['World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Official or friendly matches (football men)', 'Miami Open presented by Itaú (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-03-22,"['World Baseball Classic (baseball)', 'Special Olympics World Winter Games (multiple sports)', 'Official or friendly matches (football men)', 'Miami Open presented by Itaú (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2017-03-23,"['Special Olympics World Winter Games (multiple sports)', 'Official or friendly matches (football men)', 'Miami Open presented by Itaú (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
