year,month,day,conferences
2024,11,10,"['International Conference on Education, Psychology, Humanities and Historical Research (ICEPHHR)', 'International Conference on Defense Studies and Leadership (ICDSL)']"
2024,11,11,"['International Conference on Food Analysis and Quality Control (ICFAQC)', 'Asian Summit on Global Warming and Climate Change (ASGWCC2024)']"
2024,11,13,"['International conference on Machine learning Big data management Cloud and Computing (ICMBDC)', 'International Conference On Electrical and Electronics Engineering (ICEEE)', 'International Conference on Multidisciplinary Research (ICMR)', 'International Conference on Advances in Mathematics, Physics and Applied Science (ICAMPA)', 'International Conference on Medical, Pharmaceutical and Health Sciences (ICMPH)', 'International Conference on Nano science and Nanotechnology (IC2N)', '12th International Conference on Neuroscience research', 'International Conference on Robotics, Communication Technology, Electronics, and Electrical Engineering (ICRRCTEEE)', 'International Conference on Advanced Research in Management, Business and Finance (ICAMBF)', 'International Conference on Research in Science, Engineering and Technology (ICRSET)', '5th International Conference on ENT', 'International conference on Applied Science Mathematics and Statistics (ICASMS)', 'International Conference on Advances in Health and Medical Science (ICAHMS)', 'International Conference on Recent Advances in Computer Science and Information Technology (ICRACSIT)', 'International Conference on Big Data, IoT, Cyber Security and Information Technology (ICBDICSIT)', 'International Conference on Business Management and Social Innovation (ICBMSI)', 'International Conference on Smart Technology, Artificial Intelligence and Computer Engineering (ICSTAICE)', 'National Conference on Recent Advances in Science, Engineering, Technology and Management (NCRASETM)', 'International Conference on Recent Advances in Medical, Medicine and Health Sciences (ICRAMMHS)', 'International Conference on Robotics, Aeronautics, Mechanics and Mechatronics (ICRAMM)', 'International Conference on Oil, Gas and Petrochemistry (ICOGP)', 'International Conference on Humanities, Social Science and Business Management (ICHSSBM)', '2nd International Conference on Hypertension', 'International Conference on Chemical, Agricultural, Biological and Environmental Sciences (ICCABES)', 'International Conference on Wireless Sensor Networks, Ubiquitous Computing and Applications (ICWUA)', 'International Conference on Advances in Mechanical, Civil, and Construction Engineering (ICAMCCE)', '5th International Conference on Diabetes and Endocrinology', 'International Conference on Industrial, Production & Systems Engineering (ICIPSE)', 'International Conference on Forestry Food and Sustainable Agriculture (ICFFSA)', 'International Conference on Pain Management', 'International Conference on Physical Education and Sport Science (ICPESS)', 'International Conference on Education, Business, Humanities and Social Sciences (ICEBHS)', 'International Conference on Mechanical & Production Engineering (ICMPE)', 'International Conference on Science, Engineering & Technology (ICSET)', '4th International Conference on Neuroscience and Brain Disorders', 'International Conference on Chemical, Agricultural, Biological, Environment and Life Science (ICCABEL)', '10th International Conference on Tissue Engineering & Regenerative Medicine', 'World Conference on Applied Science Engineering and Technology (WCASET)']"
2024,11,14,"['International Conferences on Mining, Metallurgy, and Materials Engineering (IC3ME)', 'International Conference on Food Microbiology and Food Safety (ICFMFS)', 'International Conferences on Metallurgy Technology and Materials (ICMTM)', 'International Conferences on Advances in Nursing Science, Medical and Health Care (ICANSMHS)', 'International Conference on Renewable and Sustainable Energy (ICRSE)', 'International Conference on Science, Technology and Management (ICSTM)', 'Euro Global summit on Infectious Diseases and Microbiology (EGSIDM2024)', 'International Conference on E-Education, E-Business, E-Management and E-Learning (IC4E)', 'International conferences on Engineering and Natural Science (ICENS)', 'International Conference on Social Science, E-Education and New Learning Technologies (ICSSELT)', 'Euro Global summit on Infectious Diseases and Microbiolog', 'International Conferences on Medical and Health Science (ICMHS)', 'International Conference on Innovative Engineering Technologies (ICIET)', 'Global Summit on Quantum, Atomic and Molecular Physics (GSQAMP2024)', 'International Conference on Food and Agricultural Engineering (ICFAE)', 'International conferences on Economics and Social Sciences (ICESS)', 'International Conference on Tourism, Transport, and Logistics (ICTTL)']"
2024,11,17,['Pharmacy Academy Medical Congress 2024']
2024,11,18,"['International Conference on Biomaterials and Biodevices', 'International conferenced on advanced fuctional materials organized by presentis', 'International Conference on Cancer and Oncology Research', 'International conference on cancer and oncology research', 'Global Research Conference on Plant Science and Biotechnology', ""International conference on women's health and breast cancer"", 'Global Research Conference on Nutritional Science and Food Technology', 'GLOBAL RESEARCH CONFERENCE ON NATURAL SCIENCE AND FOOD TECHNOLOGY', 'International Conference on Advanced Functional Materials', 'Internation conferenc on Advanced functional materials', 'GLOBAL RESEARCH CONFERNCE ON NUTRITIONAL SCIENCE FOOD AND TECHNOLOGY', 'International Conference on Advanced Healthcare, Hospital Management, and Patient Safety']"
2024,11,20,"['International Conference on Space Science and Technology', 'International Conference on Physics & Astronomy', 'International conferance on infectious diseases', '11th International Conference on Materials Science and Engineering', 'International conference on space science and technology']"
2024,11,21,"['3rd Global Conference on Advanced Wound Care and Wound Management', '7th World Congress on Mental Health', '10th World Congress on Neurology and Therapeutics', '7th World Congress on Dentistry and Maxillofacial Surgery', '3rd Global Conference on Orthopedic Surgery', '11th International conference on Natural Products and Traditional Medicine', '2nd International Conference on ENT Surgery and Otorhinolaryngology']"
2024,11,24,"['International Conference on Medical, Biological and Pharmaceutical Sciences (ICMBPS)']"
2024,11,25,"['International Conference on Control system, power and electrical engineering (ICCSPEE)', 'International Conference on Big Data and Smart Computing (ICBDSC)', 'International Conference on Multidisciplinary Research (ICMR)', 'International Conference on Big Data, Smart Computing and Computer Science (ICBDSCC)', 'International Conference on Advanced Research in Management, Business and Finance (ICAMBF)', 'International Research Conference on Arts, Commerce, and Business Management (IRCACBM)', 'PCOS Congress', 'International Conference on Advances in Health and Medical Science (ICAHMS)', 'International Conference on Astronomy, Astrophysics, Space Science (ICAASS)', 'International Conference on Mathematical, Physics, and Dynamics (ICMPD)', 'International Conference on Social Science, Language, Literature and Education (ICSSLLE)', 'International Conference on Recent Advances in Science, Technology & Engineering (ICRASTE)', 'International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)', 'III Diabetes, Obesity and Cholesterol Metabolism Conference', 'International Conference on Leadership & Business Management (ICSSLBM)', 'International Conference on Software Engineering and Computer Science (ICSECS)', 'International Conference on Environment, Agriculture and Biotechnology (ICEABT)', 'International Conference on Recent Developments in Social Science and Business Management (ICRDSSBM)', 'International Conference on Medical and Health Sciences (ICMHS)', 'World Conference on Applied Science Engineering and Technology (WCASET)']"
