year,event,start_date,end_date,arrival_percentage_change,departure_percentage_change
2016,christmas_season,2016-12-23,2016-12-30,15.37462876438912,12.57237485902264
2017,christmas_season,2017-12-23,2017-12-30,17.54362890733551,9.30458739287724
2018,christmas_season,2018-12-23,2018-12-30,18.65482379308544,8.25694728559376
2019,christmas_season,2019-12-23,2019-12-30,19.48589342784046,7.4210911799028
2020,christmas_season,2020-12-23,2020-12-30,29.06638108202663,19.904629536340952
2021,christmas_season,2021-12-23,2021-12-30,19.485893427840463,8.4210911799028
2022,christmas_season,2022-12-23,2022-12-30,4.114472063644671,7.252088321814648
2023,christmas_season,2023-12-23,2023-12-30,19.7073327249058994,10.743425
2024,christmas_season,2024-12-23,2024-12-30,18.9,10.61080
2020,corona,2020-03-01,2020-12-31,-33.00685115795068,-39.81252187404778
2021,corona,2021-01-01,2021-12-31,-18.17329078816358,-25.427994661546837
2019,ramadan_season,2019-05-06,2019-06-04,-10.0,-8.0
2020,ramadan_season,2020-04-24,2020-05-23,-8.20457298301752,-9.10847382859683
2021,ramadan_season,2021-04-12,2021-05-12,-1.72395738106215,-3.41247283056257
2022,ramadan_season,2022-04-02,2022-05-01,-3.310197730715097,-8.01516800161386
2023,ramadan_season,2023-03-23,2023-04-20,-6.189501900659312,-4.7185181350688365
2022,world_cup,2022-11-17,2022-12-19,-9.27925576883852,9.598560517134525
2023,pre_hajj_season,2023-06-19,2023-06-23,-12.151668681145395,20.16589917849284
2016,eid_al_fitr,2016-07-07,2016-07-10,14.2837482938473,8.7384728947392
2017,eid_al_fitr,2017-06-25,2017-06-28,12.9374928374827,11.2749382738402
2018,eid_al_fitr,2018-06-15,2018-06-18,10.4937283729847,9.8347283947292
2019,eid_al_fitr,2019-06-04,2019-06-07,11.3928374827384,7.7482938473928
2020,eid_al_fitr,2020-05-24,2020-05-27,11.89462973802624,-5.2871346831021
2021,eid_al_fitr,2021-05-13,2021-05-16,12.09829384702934,9.28393856278248
2022,eid_al_fitr,2022-05-02,2022-05-05,8.93840293748371,6.73285029172836
2023,eid_al_fitr,2023-04-21,2023-04-23,9.28129373872849,7.92473829172948
2016,eid_al_adha,2016-09-10,2016-09-15,-2.9046283749184,14.0382738917283
2017,eid_al_adha,2017-09-01,2017-09-05,-1.89340297810273,12.89473826374028
2018,eid_al_adha,2018-08-21,2018-08-25,-3.2818473928392,13.84538476394027
